1,79.33,37.85,41.51
2,94.85,25.45,69.43
3,153.57,45.88,107.7
4,179,40.07,138.95
5,210.08,44.38,165.75
6,250.23,52.03,198.22
7,283.91,57.61,226.3
8,233.64,48.45,185.19
9,198.77,42.12,156.66
10,128.28,30.32,97.97
11,90.92,27.59,63.33
12,73.56,26.63,46.7
1,58.97,14.27,44.72
2,109.44,41.19,68.26
3,120.81,27.59,93.02
4,200.01,42.71,157.33
5,215.96,45.52,170.44
6,285.62,59.61,224.7
7,280.6,57.54,223.07
8,262.38,51.18,211.17
9,179.69,37.76,141.94
10,127.2,27.77,99.44
11,99.32,22.77,76.58
12,75.36,17.91,57.53
